cost_per_impression,start_date,end_date,total_budget,start_month,end_month,campaign_phase,days,region,locality,num_events,category,shop,tracking,ticket_capacity,average_ticket_price,facebook,instagram,google_search,google_display,twitter,facebook_likes,facebook_interest,instagram_interest,google_search_volume,twitter_interest
0.0050,180301.00,180331.00,2015.00,3.00,3.00,1.00,30.00,germany,single,,music,wlec,pu,30000.00,45.00,1.00,1.00,1.00,1.00,1.00,250.00,840000.00,510000.00,33000.00,180000.00
0.0035,180509.00,180523.00,481.24,5.00,5.00,1.00,14.00,switzerland,single,,music,starticket,no,3500.00,40.00,1.00,1.00,1.00,0.00,0.00,15000.00,330000.00,100000.00,1000.00,75000.00
0.0043,180416.00,180513.00,500.00,4.00,5.00,1.00,27.00,germany,single,,music,reservix,pv,5000.00,40.00,1.00,1.00,1.00,0.00,0.00,2000.00,,,,
0.0039,171114.00,180131.00,900.00,11.00,1.00,1.00,78.00,austria,multiple,,music,stagelink,pv,,,1.00,1.00,0.00,0.00,0.00,1100000.00,,,,
0.0025,171114.00,180103.00,200.00,11.00,1.00,1.00,50.00,belgium,multiple,,music,stagelink,pv,,,1.00,1.00,0.00,0.00,0.00,1100000.00,,,,
0.0015,171114.00,180103.00,100.00,11.00,1.00,1.00,50.00,czech republic,multiple,,music,stagelink,pv,,,1.00,1.00,0.00,0.00,0.00,1100000.00,,,,
0.0059,180119.00,180130.00,300.00,1.00,1.00,2.00,11.00,germany,multiple,,music,stagelink,pv,5000.00,35.00,1.00,1.00,0.00,0.00,0.00,1100000.00,,,,
0.0036,171114.00,180109.00,5400.00,11.00,1.00,1.00,56.00,germany,multiple,,music,stagelink,pv,5000.00,35.00,1.00,1.00,1.00,0.00,0.00,1100000.00,,,,
0.0015,171114.00,180103.00,100.00,11.00,1.00,1.00,50.00,hungary,multiple,,music,stagelink,pv,,,1.00,1.00,0.00,0.00,0.00,1100000.00,,,,
0.0015,171114.00,180103.00,100.00,11.00,1.00,1.00,50.00,ireland,multiple,,music,stagelink,pv,,,1.00,1.00,0.00,0.00,0.00,1100000.00,,,,
0.0050,171114.00,180103.00,400.00,11.00,1.00,1.00,50.00,netherlands,multiple,,music,stagelink,pv,,,1.00,1.00,0.00,0.00,0.00,1100000.00,,,,
0.0008,171218.00,180131.00,200.00,12.00,1.00,1.00,44.00,poland,multiple,,music,custom,no,10000.00,35.00,1.00,1.00,0.00,0.00,0.00,1100000.00,,,,
0.0022,180205.00,180217.00,885.93,2.00,2.00,2.00,12.00,uk,multiple,,music,stagelink,pv,,,1.00,1.00,0.00,0.00,0.00,,,,,
0.0020,171114.00,180103.00,1843.88,11.00,1.00,1.00,50.00,uk,multiple,,music,stagelink,pv,,,1.00,1.00,0.00,0.00,0.00,,,,,
0.0034,171207.00,171231.00,500.00,12.00,12.00,1.00,24.00,usa,single,,conference,custom,no,1000.00,,0.00,0.00,1.00,1.00,1.00,30000.00,,,,
0.0040,180111.00,180210.00,500.00,1.00,2.00,2.00,30.00,usa,single,,conference,custom,no,1000.00,,1.00,1.00,0.00,1.00,1.00,30000.00,,,,
0.0044,180515.00,180831.00,11854.51,5.00,8.00,1.00,108.00,germany,multiple,55.00,comedy,stagelink,pv,235000.00,35.00,1.00,1.00,1.00,0.00,0.00,630000.00,570000.00,350000.00,90000.00,300000.00
0.0053,180604.00,180626.00,500.00,6.00,6.00,1.00,22.00,germany,single,,music,reservix,pv,10000.00,60.00,1.00,1.00,1.00,0.00,0.00,2000.00,,,,
0.0035,171220.00,171227.00,1500.00,12.00,12.00,1.00,7.00,germany,single,,conference,custom,pv,,,1.00,1.00,1.00,1.00,1.00,,,,,
0.0057,171201.00,171216.00,250.00,12.00,12.00,1.00,15.00,germany,multiple,,music,stagelink,pv,1000.00,25.00,1.00,0.00,0.00,0.00,0.00,400000.00,,,,
0.0046,171201.00,180201.00,996.00,12.00,2.00,1.00,62.00,switzerland,single,,music,actnews,no,15000.00,55.00,1.00,1.00,0.00,0.00,0.00,12000.00,,,,
0.0043,180125.00,180325.00,666.00,1.00,3.00,1.00,59.00,switzerland,single,,comedy,actnews,no,15000.00,60.00,1.00,1.00,0.00,0.00,0.00,1000000.00,150000.00,80000.00,10000.00,15000.00
0.0053,171113.00,171213.00,1330.00,11.00,12.00,1.00,30.00,switzerland,single,,music,actnews,no,15000.00,70.00,1.00,1.00,0.00,0.00,0.00,12000.00,,,,
0.0052,171026.00,171224.00,1390.00,10.00,12.00,1.00,59.00,switzerland,single,,comedy,ticketcorner,no,,,1.00,1.00,0.00,0.00,0.00,,,,,
0.0025,171203.00,171224.00,330.00,12.00,12.00,1.00,21.00,switzerland,single,,magic,actnews,no,15000.00,330.00,1.00,1.00,0.00,0.00,0.00,12000.00,,,,
0.0050,171107.00,171224.00,660.00,11.00,12.00,1.00,47.00,switzerland,single,,music,ticketcorner,no,,,1.00,0.00,0.00,0.00,0.00,,,,,
0.0048,180313.00,180327.00,500.00,3.00,3.00,1.00,14.00,germany,single,,music,eventim,no,1000.00,25.00,1.00,1.00,1.00,0.00,0.00,64000.00,,,,
0.0036,171122.00,171229.00,1160.00,11.00,12.00,1.00,37.00,switzerland,single,,music,actnews,no,3500.00,40.00,1.00,1.00,0.00,0.00,0.00,12000.00,,,,
0.0065,180507.00,180612.00,2000.00,5.00,6.00,1.00,36.00,switzerland,single,,musical,showare,pu,16000.00,40.00,1.00,1.00,1.00,0.00,0.00,4400.00,,,,
0.0038,180207.00,180228.00,1000.00,2.00,2.00,1.00,21.00,germany,multiple,,music,reservix,pv,8000.00,45.00,1.00,1.00,1.00,0.00,0.00,73000.00,3000000.00,1800000.00,25000.00,35000.00
0.0043,171124.00,171231.00,1830.00,11.00,12.00,1.00,37.00,switzerland,multiple,,musical,actnews,no,30000.00,60.00,1.00,1.00,0.00,0.00,0.00,12000.00,,,,
0.0040,180601.00,180731.00,519.00,6.00,7.00,2.00,60.00,germany,multiple,,music,reservix,pv,15000.00,23.00,1.00,1.00,1.00,0.00,0.00,88000.00,480000.00,650000.00,6000.00,2000.00
0.0040,171127.00,171224.00,666.00,11.00,12.00,1.00,27.00,switzerland,single,,magic,actnews,no,1500.00,40.00,1.00,1.00,0.00,0.00,0.00,12000.00,,,,
0.0052,171127.00,171224.00,1300.00,11.00,12.00,1.00,27.00,switzerland,multiple,,music,actnews,no,30000.00,70.00,1.00,1.00,0.00,0.00,0.00,12000.00,,,,
0.0051,171127.00,171224.00,666.00,11.00,12.00,1.00,27.00,switzerland,single,,art,actnews,no,1500.00,50.00,1.00,1.00,0.00,0.00,0.00,12000.00,,,,
0.0024,180401.00,180430.00,409.69,4.00,4.00,1.00,29.00,germany,single,,art,custom,no,2000.00,10.00,1.00,1.00,0.00,0.00,0.00,3300.00,2800000.00,2450000.00,890000.00,2200000.00
0.0058,180427.00,180715.00,2000.00,4.00,7.00,1.00,79.00,germany,multiple,,music,wlec,pv,50000.00,70.00,1.00,1.00,1.00,1.00,1.00,5500.00,,,,
0.0043,180409.00,180502.00,500.00,4.00,5.00,1.00,23.00,germany,single,,music,reservix,pv,2000.00,30.00,1.00,1.00,1.00,0.00,0.00,2000.00,,,,
0.0024,180423.00,180430.00,1000.00,4.00,4.00,1.00,7.00,germany,single,,comedy,eventim,no,7500.00,37.00,1.00,1.00,0.00,0.00,0.00,1400000.00,640000.00,440000.00,40500.00,700000.00
0.0051,180201.00,180405.00,3871.44,2.00,4.00,1.00,63.00,germany,multiple,,music,eventim,pv,30000.00,80.00,1.00,1.00,1.00,1.00,1.00,38000.00,850000.00,540000.00,9000.00,240000.00
0.0045,180822.00,181231.00,12500.00,8.00,12.00,3.00,131.00,germany,multiple,,music,eventim,pv,30000.00,80.00,1.00,1.00,1.00,1.00,1.00,38000.00,850000.00,540000.00,9000.00,240000.00
0.0036,180122.00,180303.00,930.00,1.00,3.00,1.00,40.00,switzerland,multiple,,music,actnews,no,1000.00,35.00,1.00,1.00,0.00,0.00,0.00,30000.00,,,,
0.0064,180604.00,180627.00,250.00,6.00,6.00,1.00,23.00,germany,single,,music,reservix,pv,10000.00,40.00,1.00,1.00,1.00,0.00,0.00,2000.00,,,,
0.0041,180409.00,180430.00,1500.00,4.00,4.00,1.00,21.00,germany,single,,music,eventim,no,1000.00,35.00,1.00,1.00,1.00,1.00,1.00,26000.00,,,,
0.0040,171213.00,180115.00,500.00,12.00,1.00,1.00,33.00,germany,single,,music,eventim,no,1500.00,25.00,1.00,0.00,0.00,0.00,0.00,74000.00,35000.00,38000.00,1000.00,
0.0057,180301.00,180331.00,500.00,3.00,3.00,1.00,30.00,germany,single,,music,eventim,pu,1500.00,25.00,1.00,1.00,0.00,0.00,0.00,31000.00,560000.00,320000.00,51000.00,220000.00
0.0049,171128.00,180316.00,1384.00,11.00,3.00,1.00,108.00,switzerland,single,,music,actnews,no,15000.00,80.00,1.00,1.00,0.00,0.00,0.00,12000.00,,,,
0.0036,180131.00,180212.00,660.00,1.00,2.00,1.00,12.00,switzerland,single,,music,actnews,no,800.00,35.00,1.00,1.00,0.00,0.00,0.00,350000.00,,,,
0.0050,171106.00,171225.00,695.00,11.00,12.00,1.00,49.00,switzerland,single,,theatre,custom,no,,,1.00,1.00,0.00,0.00,0.00,,,,,
0.0041,171023.00,171218.00,250.00,10.00,12.00,1.00,56.00,germany,single,,music,adticket,no,,,1.00,0.00,0.00,0.00,0.00,,,,,
0.0042,171023.00,171218.00,250.00,10.00,12.00,1.00,56.00,germany,single,,music,adticket,no,,,1.00,0.00,0.00,0.00,0.00,,,,,
0.0052,171023.00,171218.00,250.00,10.00,12.00,1.00,56.00,germany,single,,music,adticket,no,,,1.00,0.00,0.00,0.00,0.00,,,,,
0.0030,171023.00,171218.00,250.00,10.00,12.00,1.00,56.00,germany,single,,music,adticket,no,,,1.00,0.00,0.00,0.00,0.00,,,,,
0.0049,171208.00,171224.00,666.00,12.00,12.00,1.00,16.00,switzerland,single,,music,actnews,no,3500.00,50.00,1.00,1.00,0.00,0.00,0.00,10000.00,170000.00,180000.00,10000.00,120000.00
0.0024,171128.00,180126.00,200.00,11.00,1.00,4.00,59.00,germany,multiple,,music,stagelink,no,,,1.00,0.00,0.00,0.00,0.00,,,,,
0.0072,171009.00,171019.00,100.99,10.00,10.00,2.00,10.00,germany,multiple,,music,stagelink,pv,,,1.00,0.00,0.00,0.00,0.00,,,,,
0.0048,171109.00,171123.00,200.00,11.00,11.00,3.00,14.00,germany,multiple,,music,stagelink,pv,,,1.00,0.00,0.00,0.00,0.00,,,,,
0.0033,170929.00,171004.00,250.00,9.00,10.00,1.00,5.00,germany,multiple,,music,stagelink,pv,,,1.00,0.00,0.00,0.00,0.00,,,,,
0.0051,180123.00,180228.00,286.96,1.00,2.00,1.00,36.00,germany,single,,conference,eventbrite,pu,1000.00,450.00,1.00,0.00,0.00,0.00,0.00,1000.00,,,,
0.0051,180427.00,180518.00,250.00,4.00,5.00,1.00,21.00,germany,single,,music,reservix,pv,5000.00,50.00,1.00,1.00,1.00,0.00,0.00,2000.00,,,,
0.0044,171213.00,180103.00,600.00,12.00,1.00,2.00,21.00,switzerland,multiple,,other,actnews,no,4500.00,45.00,1.00,0.00,0.00,0.00,0.00,12000.00,,,,
0.0053,180130.00,180401.00,3000.00,1.00,4.00,1.00,61.00,germany,multiple,,coaching,elopage,pv,2000.00,50.00,1.00,1.00,1.00,0.00,0.00,28000.00,1300000.00,2500000.00,2000.00,380000.00
0.0041,180420.00,180430.00,1483.00,4.00,4.00,3.00,10.00,germany,multiple,,coaching,elopage,pv,2000.00,50.00,1.00,0.00,0.00,0.00,0.00,28000.00,1300000.00,2500000.00,2000.00,380000.00
0.0046,180501.00,180725.00,1405.65,5.00,7.00,4.00,85.00,germany,multiple,,coaching,elopage,pv,2000.00,50.00,1.00,1.00,1.00,0.00,0.00,28000.00,1300000.00,2500000.00,2000.00,380000.00
0.0071,181001.00,181004.00,96.77,10.00,10.00,5.00,3.00,germany,multiple,,coaching,elopage,pv,2000.00,50.00,1.00,1.00,1.00,0.00,0.00,28000.00,1300000.00,2500000.00,2000.00,380000.00
0.0040,180313.00,180318.00,500.00,3.00,3.00,1.00,5.00,switzerland,multiple,,music,showare,no,21000.00,50.00,1.00,1.00,1.00,1.00,1.00,1290.00,230000.00,280000.00,14000.00,130000.00
0.0052,180404.00,180429.00,2000.00,4.00,4.00,1.00,25.00,switzerland,multiple,,theatre,custom,pu,10000.00,65.00,1.00,1.00,1.00,0.00,0.00,1290.00,330000.00,420000.00,15000.00,120000.00
0.0043,180307.00,180324.00,2000.00,3.00,3.00,1.00,17.00,switzerland,multiple,,theatre,custom,no,4000.00,60.00,1.00,1.00,1.00,1.00,1.00,1290.00,1100000.00,880000.00,22000.00,430000.00
0.0026,180313.00,180316.00,1000.00,3.00,3.00,4.00,3.00,netherlands,single,,conference,custom,pu,1000.00,350.00,1.00,1.00,0.00,0.00,0.00,21000.00,1800000.00,1100000.00,10000.00,80000.00
0.0022,180301.00,180310.00,8000.00,3.00,3.00,3.00,9.00,netherlands,single,,conference,custom,pv,1000.00,350.00,1.00,1.00,1.00,0.00,0.00,21000.00,1800000.00,1100000.00,10000.00,80000.00
0.0030,180201.00,180228.00,10500.00,2.00,2.00,2.00,27.00,netherlands,single,,conference,custom,pu,1000.00,350.00,1.00,1.00,1.00,0.00,0.00,21000.00,1800000.00,1100000.00,10000.00,80000.00
0.0027,171201.00,180131.00,16000.00,12.00,1.00,1.00,61.00,netherlands,single,,conference,custom,pv,1000.00,350.00,1.00,1.00,1.00,1.00,1.00,21000.00,1800000.00,1100000.00,10000.00,80000.00
0.0031,180201.00,180228.00,1000.00,2.00,2.00,2.00,27.00,germany,single,,music,stagelink,pv,4000.00,40.00,1.00,1.00,1.00,0.00,0.00,18000.00,1500000.00,1300000.00,8000.00,50000.00
0.0055,171213.00,171224.00,1000.00,12.00,12.00,1.00,11.00,germany,single,,music,stagelink,pv,4000.00,40.00,1.00,0.00,0.00,0.00,0.00,18000.00,1500000.00,1300000.00,8000.00,50000.00
0.0034,180301.00,180322.00,1909.07,3.00,3.00,3.00,21.00,germany,single,,music,stagelink,pv,4000.00,40.00,1.00,1.00,1.00,0.00,0.00,18000.00,1500000.00,1300000.00,8000.00,50000.00
0.0035,180201.00,180228.00,1000.00,2.00,2.00,1.00,27.00,germany,single,,music,stagelink,pv,15000.00,40.00,1.00,1.00,1.00,0.00,0.00,18000.00,1500000.00,1300000.00,8000.00,50000.00
0.0037,180301.00,180322.00,2842.15,3.00,3.00,2.00,21.00,germany,single,,music,stagelink,pv,15000.00,40.00,1.00,1.00,1.00,0.00,0.00,18000.00,1500000.00,1300000.00,8000.00,50000.00
0.0032,180101.00,180430.00,8000.00,1.00,4.00,2.00,119.00,germany,single,,music,custom,pv,5000.00,90.00,1.00,1.00,1.00,0.00,0.00,26500.00,1500000.00,1100000.00,25000.00,
0.0042,171201.00,171231.00,1000.00,12.00,12.00,1.00,30.00,germany,single,,music,custom,pv,5000.00,90.00,1.00,1.00,1.00,0.00,0.00,26500.00,1500000.00,1100000.00,25000.00,
0.0043,180511.00,180606.00,10025.50,5.00,6.00,1.00,26.00,germany,single,,sports,eventbrite,pv,50000.00,10.00,1.00,1.00,1.00,1.00,1.00,9400.00,2240000.00,1810000.00,26000.00,800000.00
0.0051,180413.00,180531.00,4914.00,4.00,5.00,1.00,48.00,germany,single,,tradefair,stagelink,pv,100000.00,10.00,1.00,1.00,1.00,0.00,0.00,11000.00,820000.00,1100000.00,8000.00,50000.00
0.0063,180618.00,180720.00,2000.00,6.00,7.00,1.00,32.00,germany,multiple,,coaching,elopage,pv,3000.00,200.00,1.00,1.00,1.00,0.00,0.00,30000.00,,,,
0.0058,180725.00,180826.00,1000.00,7.00,8.00,2.00,32.00,germany,multiple,,coaching,elopage,pv,3000.00,200.00,1.00,1.00,1.00,0.00,0.00,30000.00,,,,
0.0046,180628.00,180909.00,3300.00,6.00,9.00,1.00,73.00,germany,single,,music,custom,pv,6000.00,37.00,1.00,1.00,1.00,0.00,0.00,1100000.00,100000.00,70000.00,18000.00,76000.00
0.0042,180628.00,180925.00,1000.00,6.00,9.00,1.00,89.00,germany,multiple,,music,stagelink,pv,2000.00,29.00,1.00,1.00,1.00,0.00,0.00,159000.00,1300000.00,830000.00,48000.00,800000.00
0.0043,180702.00,180731.00,500.00,7.00,7.00,1.00,29.00,germany,single,,music,reservix,pv,5000.00,35.00,1.00,1.00,1.00,0.00,0.00,30000.00,,,,
0.0055,180712.00,180909.00,1131.73,7.00,9.00,1.00,59.00,germany,single,,music,eventim,pv,12000.00,30.00,1.00,1.00,1.00,0.00,0.00,222000.00,315000.00,300000.00,33000.00,21000.00
0.0027,180707.00,180808.00,1650.00,7.00,8.00,1.00,32.00,world,multiple,,music,custom,no,4000.00,30.00,1.00,1.00,1.00,0.00,0.00,1100000.00,,,,
0.0051,180705.00,180730.00,1800.00,7.00,7.00,1.00,25.00,germany,single,,art,stagelink,pv,1500.00,40.00,1.00,1.00,1.00,0.00,0.00,700.00,,,,
0.0061,180711.00,180719.00,200.00,7.00,7.00,1.00,8.00,germany,multiple,,comedy,eventim,no,280000.00,40.00,1.00,1.00,0.00,0.00,0.00,690000.00,600000.00,400000.00,100000.00,300000.00
0.0020,181221.00,181231.00,2126.66,12.00,12.00,3.00,10.00,germany,multiple,48.00,comedy,stagelink,pv,35000.00,28.00,1.00,1.00,1.00,0.00,0.00,85000.00,62000.00,37000.00,10000.00,309000.00
